year,month,day,hour_UT,geopotential height (m),temperature (degrees),humidity (%),wind direction (degree from north clockwise),wind velocity (m/s)
2015,1,1,0,12326.8457,-53.68153381,-9999,295.9842371,22.2610569
2015,1,1,6,12314.31738,-53.75802612,-9999,298.7129803,19.56296921
2015,1,1,12,12318.76563,-54.77432251,-9999,302.5348066,23.9629097
2015,1,1,18,12323.18262,-55.24394226,-9999,302.0229385,24.43117714
2015,1,2,0,12328.08398,-54.32371521,-9999,317.355481,30.06739998
2015,1,2,6,12325.78516,-54.79049683,-9999,323.0980696,35.32919312
2015,1,2,12,12318.80859,-55.0397644,-9999,319.1951552,38.96168518
2015,1,2,18,12339.22852,-55.57539368,-9999,322.9871454,36.17580032
2015,1,3,0,12339.45898,-53.50976563,-9999,328.8624269,35.98902893
2015,1,3,6,12334.35547,-54.13983154,-9999,326.1380802,42.15505219
2015,1,3,12,12344.61133,-54.46810913,-9999,327.3574091,40.07654572
2015,1,3,18,12364.72754,-54.57975769,-9999,325.1190486,36.70600128
2015,1,4,0,12371.875,-54.77540588,-9999,323.2929651,36.38022232
2015,1,4,6,12367.47266,-54.74806213,-9999,326.432217,37.97244263
2015,1,4,12,12361.72266,-56.76138306,-9999,315.5539124,36.41613388
2015,1,4,18,12390.96094,-56.80619812,-9999,332.7114114,23.38049698
2015,1,5,0,12387.17871,-56.42376709,-9999,337.4052363,24.30634117
2015,1,5,6,12364.93945,-56.39627075,-9999,346.7350805,33.96207428
2015,1,5,12,12367.12305,-56.93792725,-9999,353.2539894,29.33402252
2015,1,5,18,12378.01953,-55.94013977,-9999,345.8029987,28.89545441
2015,1,6,0,12366.82129,-55.36338806,-9999,348.4443611,34.95552063
2015,1,6,6,12350.18262,-53.95420837,-9999,352.0750142,38.69794846
2015,1,6,12,12350.16211,-54.37887573,-9999,334.7969252,31.67917252
2015,1,6,18,12362.11426,-53.50064087,-9999,335.7636356,30.27960396
2015,1,7,0,12369.01953,-52.78594971,-9999,333.8661596,31.69749641
2015,1,7,6,12360.15039,-53.00112915,-9999,330.2907549,33.83041382
2015,1,7,12,12353.39746,-53.97169495,-9999,324.1767933,30.31401443
2015,1,7,18,12376.44238,-53.1295929,-9999,333.297696,28.56717491
2015,1,8,0,12386.83887,-52.85498047,-9999,343.8007928,28.34171867
2015,1,8,6,12370.66699,-53.42520142,-9999,340.4276008,31.40856743
2015,1,8,12,12371.81738,-52.20425415,-9999,344.7832532,29.09558105
2015,1,8,18,12379.85645,-52.70721436,-9999,347.0311007,31.63316345
2015,1,9,0,12381.40234,-52.0758667,-9999,349.6063656,35.99391174
2015,1,9,6,12373.53125,-53.50871277,-9999,347.3729584,35.37223053
2015,1,9,12,12385.44238,-54.46728516,-9999,336.6013379,32.0613327
2015,1,9,18,12402.65137,-53.25346375,-9999,335.8948677,32.24515915
2015,1,10,0,12407.49609,-53.41775513,-9999,332.8693646,28.70974731
2015,1,10,6,12394.27539,-54.07739258,-9999,337.1009352,31.96873665
2015,1,10,12,12395.13574,-54.77726746,-9999,330.8646554,29.48577309
2015,1,10,18,12409.00098,-54.61849976,-9999,328.8596978,24.56891823
2015,1,11,0,12410.08594,-54.72036743,-9999,339.5560881,30.01651573
2015,1,11,6,12401.26074,-54.68994141,-9999,347.0777716,28.21021461
2015,1,11,12,12404.13184,-55.60238647,-9999,343.524035,21.06068802
2015,1,11,18,12409.93359,-53.78077698,-9999,357.9757296,25.49340248
2015,1,12,0,12399.23633,-54.23205566,-9999,347.471948,27.99840927
2015,1,12,6,12381.15039,-54.59010315,-9999,355.7133161,29.57018661
2015,1,12,12,12378.19531,-54.46911621,-9999,343.2942622,27.01993942
2015,1,12,18,12373.97754,-55.02584839,-9999,352.5083041,25.57262611
2015,1,13,0,12363.97363,-55.31869507,-9999,337.6979767,29.2857151
2015,1,13,6,12337.51953,-55.65931702,-9999,331.6762655,31.20045471
